database,projectid,object_type,source_treatmentid,block,replicate,areaid,treatmentid,source_trt_tsr
GAZP,2,plot,2_22,1,8,745,94,14
GAZP,2,plot,2_22,1,8,745,95,16
GAZP,2,plot,2_23,1,1,746,96,0
GAZP,2,plot,2_23,1,1,746,97,2
GAZP,2,plot,2_23,1,1,746,98,4
GAZP,2,plot,2_23,1,1,746,99,6
GAZP,2,plot,2_23,1,1,746,100,8
GAZP,2,plot,2_23,1,1,746,101,10
GAZP,2,plot,2_23,1,1,746,102,12
GAZP,2,plot,2_23,1,1,746,103,14
GAZP,2,plot,2_23,1,1,746,104,16
GAZP,2,plot,2_23,1,2,747,96,0
GAZP,2,plot,2_23,1,2,747,97,2
GAZP,2,plot,2_23,1,2,747,98,4
GAZP,2,plot,2_23,1,2,747,99,6
GAZP,2,plot,2_23,1,2,747,100,8
GAZP,2,plot,2_23,1,2,747,101,10
GAZP,2,plot,2_23,1,2,747,102,12
GAZP,2,plot,2_23,1,2,747,103,14
GAZP,2,plot,2_23,1,2,747,104,16
GAZP,2,plot,2_23,1,3,748,96,0
GAZP,2,plot,2_23,1,3,748,97,2
GAZP,2,plot,2_23,1,3,748,98,4
GAZP,2,plot,2_23,1,3,748,99,6
GAZP,2,plot,2_23,1,3,748,100,8
GAZP,2,plot,2_23,1,3,748,101,10
GAZP,2,plot,2_23,1,3,748,102,12
GAZP,2,plot,2_23,1,3,748,103,14
GAZP,2,plot,2_23,1,3,748,104,16
GAZP,2,plot,2_23,1,4,749,96,0
GAZP,2,plot,2_23,1,4,749,97,2
GAZP,2,plot,2_23,1,4,749,98,4
GAZP,2,plot,2_23,1,4,749,99,6
GAZP,2,plot,2_23,1,4,749,100,8
GAZP,2,plot,2_23,1,4,749,101,10
GAZP,2,plot,2_23,1,4,749,102,12
GAZP,2,plot,2_23,1,4,749,103,14
GAZP,2,plot,2_23,1,4,749,104,16
GAZP,2,plot,2_23,1,5,750,96,0
GAZP,2,plot,2_23,1,5,750,97,2
GAZP,2,plot,2_23,1,5,750,98,4
GAZP,2,plot,2_23,1,5,750,99,6
GAZP,2,plot,2_23,1,5,750,100,8
GAZP,2,plot,2_23,1,5,750,101,10
GAZP,2,plot,2_23,1,5,750,102,12
GAZP,2,plot,2_23,1,5,750,103,14
GAZP,2,plot,2_23,1,5,750,104,16
GAZP,2,plot,2_23,1,6,751,96,0
GAZP,2,plot,2_23,1,6,751,97,2
GAZP,2,plot,2_23,1,6,751,98,4
GAZP,2,plot,2_23,1,6,751,99,6
GAZP,2,plot,2_23,1,6,751,100,8
GAZP,2,plot,2_23,1,6,751,101,10
GAZP,2,plot,2_23,1,6,751,102,12
GAZP,2,plot,2_23,1,6,751,103,14
GAZP,2,plot,2_23,1,6,751,104,16
GAZP,2,plot,2_23,1,7,752,96,0
GAZP,2,plot,2_23,1,7,752,97,2
GAZP,2,plot,2_23,1,7,752,98,4
GAZP,2,plot,2_23,1,7,752,99,6
GAZP,2,plot,2_23,1,7,752,100,8
GAZP,2,plot,2_23,1,7,752,101,10
GAZP,2,plot,2_23,1,7,752,102,12
GAZP,2,plot,2_23,1,7,752,103,14
GAZP,2,plot,2_23,1,7,752,104,16
GAZP,2,plot,2_23,1,8,753,96,0
GAZP,2,plot,2_23,1,8,753,97,2
GAZP,2,plot,2_23,1,8,753,98,4
GAZP,2,plot,2_23,1,8,753,99,6
GAZP,2,plot,2_23,1,8,753,100,8
GAZP,2,plot,2_23,1,8,753,101,10
GAZP,2,plot,2_23,1,8,753,102,12
GAZP,2,plot,2_23,1,8,753,103,14
GAZP,2,plot,2_23,1,8,753,104,16
GAZP,2,plot,2_24,1,1,754,105,0
GAZP,2,plot,2_24,1,2,755,105,0
GAZP,2,plot,2_24,1,3,756,105,0
GAZP,2,plot,2_24,1,4,757,105,0
GAZP,2,plot,2_24,1,5,758,105,0
GAZP,2,plot,2_24,1,6,759,105,0
GAZP,2,plot,2_24,1,7,760,105,0
GAZP,2,plot,2_24,1,8,761,105,0
GAZP,2,plot,2_25,1,1,762,106,0
GAZP,2,plot,2_25,1,2,763,106,0
GAZP,2,plot,2_25,1,3,764,106,0
GAZP,2,plot,2_25,1,4,765,106,0
GAZP,2,plot,2_25,1,5,766,106,0
GAZP,2,plot,2_25,1,6,767,106,0
GAZP,2,plot,2_25,1,7,768,106,0
GAZP,2,plot,2_25,1,8,769,106,0
GAZP,2,plot,2_26,1,1,770,107,0
GAZP,2,plot,2_26,1,1,770,108,2
GAZP,2,plot,2_26,1,1,770,109,4
GAZP,2,plot,2_26,1,1,770,110,6
GAZP,2,plot,2_26,1,1,770,111,8
GAZP,2,plot,2_26,1,1,770,112,10
GAZP,2,plot,2_26,1,1,770,113,12
GAZP,2,plot,2_26,1,1,770,114,14
GAZP,2,plot,2_26,1,1,770,115,16
GAZP,2,plot,2_26,1,2,771,107,0
GAZP,2,plot,2_26,1,2,771,108,2
GAZP,2,plot,2_26,1,2,771,109,4
GAZP,2,plot,2_26,1,2,771,110,6
GAZP,2,plot,2_26,1,2,771,111,8
GAZP,2,plot,2_26,1,2,771,112,10
GAZP,2,plot,2_26,1,2,771,113,12
GAZP,2,plot,2_26,1,2,771,114,14
GAZP,2,plot,2_26,1,2,771,115,16
GAZP,2,plot,2_26,1,3,772,107,0
GAZP,2,plot,2_26,1,3,772,108,2
GAZP,2,plot,2_26,1,3,772,109,4
GAZP,2,plot,2_26,1,3,772,110,6
GAZP,2,plot,2_26,1,3,772,111,8
GAZP,2,plot,2_26,1,3,772,112,10
GAZP,2,plot,2_26,1,3,772,113,12
GAZP,2,plot,2_26,1,3,772,114,14
GAZP,2,plot,2_26,1,3,772,115,16
GAZP,2,plot,2_26,1,4,773,107,0
GAZP,2,plot,2_26,1,4,773,108,2
GAZP,2,plot,2_26,1,4,773,109,4
GAZP,2,plot,2_26,1,4,773,110,6
GAZP,2,plot,2_26,1,4,773,111,8
GAZP,2,plot,2_26,1,4,773,112,10
GAZP,2,plot,2_26,1,4,773,113,12
GAZP,2,plot,2_26,1,4,773,114,14
GAZP,2,plot,2_26,1,4,773,115,16
GAZP,2,plot,2_26,1,5,774,107,0
GAZP,2,plot,2_26,1,5,774,108,2
GAZP,2,plot,2_26,1,5,774,109,4
GAZP,2,plot,2_26,1,5,774,110,6
GAZP,2,plot,2_26,1,5,774,111,8
GAZP,2,plot,2_26,1,5,774,112,10
GAZP,2,plot,2_26,1,5,774,113,12
GAZP,2,plot,2_26,1,5,774,114,14
GAZP,2,plot,2_26,1,5,774,115,16
GAZP,2,plot,2_26,1,6,775,107,0
GAZP,2,plot,2_26,1,6,775,108,2
GAZP,2,plot,2_26,1,6,775,109,4
