Plot,,Rep,Month,Year,Treatment,Site,Nurse,RP,Region,Aiz_can,Cha_inv,Che_den,Con_elo,Dro_his,Eri_mic,Gal_sar,Her_dis,Hip_ali,Hyp_sal,Leb_ser,Lei_sch,Man_alb,Pen_inc,Pte_div,G_Rus_spp,Sti_cil,Tet_fru,Tri_opp,Roe_mor
TR2_ALIVE11,6_22,26,Nov,2014,ALIVE,TR2,FALSE,ALIVE,TR,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE11,6_22,26,Nov,2015,ALIVE,TR2,FALSE,ALIVE,TR,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE12,6_22,27,Aug,2013,ALIVE,TR2,FALSE,ALIVE,TR,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE12,6_22,27,Aug,2014,ALIVE,TR2,FALSE,ALIVE,TR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE12,6_22,27,Aug,2015,ALIVE,TR2,FALSE,ALIVE,TR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE12,6_22,27,Nov,2013,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE12,6_22,27,Nov,2014,ALIVE,TR2,FALSE,ALIVE,TR,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TR2_ALIVE12,6_22,27,Nov,2015,ALIVE,TR2,FALSE,ALIVE,TR,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
TR2_ALIVE13,6_22,28,Aug,2013,ALIVE,TR2,FALSE,ALIVE,TR,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TR2_ALIVE13,6_22,28,Aug,2014,ALIVE,TR2,FALSE,ALIVE,TR,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
TR2_ALIVE13,6_22,28,Aug,2015,ALIVE,TR2,FALSE,ALIVE,TR,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
TR2_ALIVE13,6_22,28,Nov,2013,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE13,6_22,28,Nov,2014,ALIVE,TR2,FALSE,ALIVE,TR,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
TR2_ALIVE13,6_22,28,Nov,2015,ALIVE,TR2,FALSE,ALIVE,TR,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
TR2_ALIVE14,6_22,29,Aug,2013,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE14,6_22,29,Aug,2014,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE14,6_22,29,Aug,2015,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE14,6_22,29,Nov,2013,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE14,6_22,29,Nov,2014,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE14,6_22,29,Nov,2015,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE15,6_22,30,Aug,2013,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE15,6_22,30,Aug,2014,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE15,6_22,30,Aug,2015,ALIVE,TR2,FALSE,ALIVE,TR,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE15,6_22,30,Nov,2013,ALIVE,TR2,FALSE,ALIVE,TR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE15,6_22,30,Nov,2014,ALIVE,TR2,FALSE,ALIVE,TR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE15,6_22,30,Nov,2015,ALIVE,TR2,FALSE,ALIVE,TR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE2,6_22,17,Aug,2013,ALIVE,TR2,FALSE,ALIVE,TR,0,0,5,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,1
TR2_ALIVE2,6_22,17,Aug,2014,ALIVE,TR2,FALSE,ALIVE,TR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TR2_ALIVE2,6_22,17,Aug,2015,ALIVE,TR2,FALSE,ALIVE,TR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TR2_ALIVE2,6_22,17,Nov,2013,ALIVE,TR2,FALSE,ALIVE,TR,0,0,15,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1
TR2_ALIVE2,6_22,17,Nov,2014,ALIVE,TR2,FALSE,ALIVE,TR,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
