Plot,Rep,Month,Year,Treatment,Site,Nurse,RP,Region,A_can,D_his,E_cal,E_mic,H_ham,H_dis,I_spp,L_ser,L_gna,P_inc,P_con,P_div,P_glo,Pt_inc,S_rug,T_fru,T_his,W_muc
LF1_ALIVE8,8,Nov,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE8,8,Nov,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,2,1
LF1_ALIVE8,8,Nov,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2
LF1_ALIVE9,9,Aug,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE9,9,Aug,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
LF1_ALIVE9,9,Aug,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0
LF1_ALIVE9,9,Nov,2013,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF1_ALIVE9,9,Nov,2014,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
LF1_ALIVE9,9,Nov,2015,ALIVE,LF1,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0
LF2_ALIVE1,16,Aug,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE1,16,Aug,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LF2_ALIVE1,16,Aug,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
LF2_ALIVE1,16,Nov,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE1,16,Nov,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
LF2_ALIVE1,16,Nov,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0
LF2_ALIVE10,25,Aug,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE10,25,Aug,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE10,25,Aug,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
LF2_ALIVE10,25,Nov,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE10,25,Nov,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE10,25,Nov,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
LF2_ALIVE11,26,Aug,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE11,26,Aug,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LF2_ALIVE11,26,Aug,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LF2_ALIVE11,26,Nov,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
LF2_ALIVE11,26,Nov,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
LF2_ALIVE11,26,Nov,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
LF2_ALIVE12,27,Aug,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE12,27,Aug,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
LF2_ALIVE12,27,Aug,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
LF2_ALIVE12,27,Nov,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE12,27,Nov,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0
LF2_ALIVE12,27,Nov,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
LF2_ALIVE13,28,Aug,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE13,28,Aug,2014,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF2_ALIVE13,28,Aug,2015,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
LF2_ALIVE13,28,Nov,2013,ALIVE,LF2,FALSE,ALIVE,LF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
