database,projectid,object_type,source_treatmentid,source_treatment_event_key,block,replicate,areaid,treatmentid,source_trt_tsr
GAZP,11,plot,11_48,11_48::event_01,1115,13,3615,602,0
GAZP,11,plot,11_44,11_44::event_01,1115,23,3616,598,0
GAZP,11,plot,11_40,11_40::event_01,1115,33,3617,594,0
GAZP,11,plot,11_36,11_36::event_01,1115,43,3618,588,0
GAZP,11,plot,11_32,11_32::event_01,1115,53,3619,584,0
GAZP,11,plot,11_44,11_44::event_01,1116,12,3620,598,0
GAZP,11,plot,11_40,11_40::event_01,1116,22,3621,594,0
GAZP,11,plot,11_36,11_36::event_01,1116,32,3622,588,0
GAZP,11,plot,11_32,11_32::event_01,1116,42,3623,584,0
GAZP,11,plot,11_48,11_48::event_01,1116,52,3624,602,0
GAZP,11,plot,11_40,11_40::event_01,1117,111,3625,594,0
GAZP,11,plot,11_32,11_32::event_01,1117,121,3626,584,0
GAZP,11,plot,11_48,11_48::event_01,1117,131,3627,602,0
GAZP,11,plot,11_44,11_44::event_01,1117,141,3628,598,0
GAZP,11,plot,11_36,11_36::event_01,1117,151,3629,588,0
GAZP,11,plot,11_44,11_44::event_01,1118,111,3630,598,0
GAZP,11,plot,11_32,11_32::event_01,1118,121,3631,584,0
GAZP,11,plot,11_40,11_40::event_01,1118,131,3632,594,0
GAZP,11,plot,11_48,11_48::event_01,1118,141,3633,602,0
GAZP,11,plot,11_36,11_36::event_01,1118,151,3634,588,0
GAZP,11,plot,11_46,11_46::event_01,1201,13,3635,600,0
GAZP,11,plot,11_34,11_34::event_01,1201,23,3636,586,0
GAZP,11,plot,11_42,11_42::event_01,1201,33,3637,596,0
GAZP,11,plot,11_38,11_38::event_01,1201,43,3638,590,0
GAZP,11,plot,11_30,11_30::event_01,1201,53,3639,582,0
GAZP,11,plot,11_46,11_46::event_01,1202,12,3640,600,0
GAZP,11,plot,11_34,11_34::event_01,1202,22,3641,586,0
GAZP,11,plot,11_30,11_30::event_01,1202,32,3642,582,0
GAZP,11,plot,11_38,11_38::event_01,1202,42,3643,590,0
GAZP,11,plot,11_42,11_42::event_01,1202,52,3644,596,0
GAZP,11,plot,11_30,11_30::event_01,1203,12,3645,582,0
GAZP,11,plot,11_34,11_34::event_01,1203,22,3646,586,0
GAZP,11,plot,11_46,11_46::event_01,1203,32,3647,600,0
GAZP,11,plot,11_38,11_38::event_01,1203,42,3648,590,0
GAZP,11,plot,11_42,11_42::event_01,1203,52,3649,596,0
GAZP,11,plot,11_30,11_30::event_01,1204,13,3650,582,0
GAZP,11,plot,11_42,11_42::event_01,1204,23,3651,596,0
GAZP,11,plot,11_38,11_38::event_01,1204,33,3652,590,0
GAZP,11,plot,11_34,11_34::event_01,1204,43,3653,586,0
GAZP,11,plot,11_46,11_46::event_01,1204,53,3654,600,0
GAZP,11,plot,11_30,11_30::event_01,1205,111,3655,582,0
GAZP,11,plot,11_38,11_38::event_01,1205,121,3656,590,0
GAZP,11,plot,11_46,11_46::event_01,1205,131,3657,600,0
