project_code,projectid,source_treatmentid,tsr,source_month,source_day,supabase_areaid,supabase_veg_resultid,current_year,current_month,proposed_month,month_action,current_day,proposed_day,day_action
GAZP1,1,1_16,6,2,,236,236,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,237,237,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,238,238,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,239,239,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,240,240,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,241,241,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,242,242,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,243,243,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,244,244,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,245,245,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_16,6,2,,246,246,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,247,247,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,248,248,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,249,249,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,250,250,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,251,251,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,252,252,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,253,253,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,254,254,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,255,255,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,256,256,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,257,257,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,258,258,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,259,259,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,260,260,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,261,261,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,262,262,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,263,263,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,264,264,2016,,2,update_missing,,,source_missing_leave_unchanged
GAZP1,1,1_17,6,2,,265,265,2016,,2,update_missing,,,source_missing_leave_unchanged
